,report_date,ADANIENT,ADANIPORTS,AMBUJACEM,APOLLOHOSP,ASIANPAINT,AUROPHARMA,AXISBANK,BAJAJ,BAJAJFINSV,BAJFINANCE,BEL,BHARTIARTL,CIPLA,COALINDIA,DIVISLAB,DRREDDY,EICHERMOT,GAIL,GRASIM,HCLTECH,HDFCBANK,HDFCLIFE,HINDALCO,HINDPETRO,HINDUNILVR,ICICIBANK,INDUSINDBK,INFY,IOC,ITC,JIOFIN,JSWSTEEL,KOTAKBANK,LT,LUPIN,M&M,MARUTI,NESTLEIND,NTPC,ONGC,POWERGRID,RELIANCE,SBIN,SHREECEM,SUNPHARMA,TATACONSUM,TATASTEEL,TCS,TECHM,TITAN,TMPV,ULTRACEMCO,UPL,WIPRO
57,2022-03-31,1099810083.0,2112373230.0,1985645229.0,143784657.0,959197790.0,585938609.0,3069747836.0,,159137444.0,605429233.0,2436592943.0,,806814036.0,6162728327.0,265468580.0,166425849.0,273423102.0,4440385225.0,658295426.0,2713665096.0,5545540976.0,2112619161.0,2247172724.0,,2349591262.0,6948771375.0,,4206738641.0,9414158922.0,,,2417220440.0,1984661760.0,1405029123.0,454475014.0,1243192544.0,302080060.0,,9696666134.0,,6975452864.0,6765994014.0,8924611534.0,36080748.0,2399334970.0,921551715.0,1221530046.0,3659051373.0,971833479.0,887786160.0,3320662007.0,288670847.0,764045456.0,5482070115.0
58,2022-05-12,1140001121.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,2022-06-30,1140001121.0,2112373230.0,1985645229.0,143784657.0,959197790.0,585938609.0,3071432148.0,289367020.0,159137444.0,605429233.0,2436592943.0,5884314930.0,806907203.0,6162728327.0,265468580.0,166441018.0,273428852.0,4383399762.0,658295426.0,2713665096.0,5554552746.0,2113172584.0,2247172724.0,1418548345.0,2349591262.0,6956354896.0,775102639.0,4207620719.0,9414158922.0,,,2417220440.0,1985434304.0,1405145221.0,454623411.0,1243192544.0,302080060.0,,9696666134.0,12580279206.0,6975452864.0,6765994014.0,8924611734.0,36080748.0,2399334970.0,921551715.0,1221530046.0,3659051373.0,972561468.0,887786160.0,3320912308.0,288670847.0,750607641.0,5482346780.0
60,2022-07-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14121238383.0,,,,,,,,,,,,,,,,,,,,,,,,,
61,2022-08-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12215300460.0,,,,,,,
62,2022-09-07,,,,,,,,,,,,,,,,,,6575099643.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,2022-09-19,,,,,,,,,,,7309778829.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,2022-09-30,1140001121.0,2112373230.0,1985645229.0,143784657.0,959197790.0,585938609.0,3072321111.0,283679761.0,1592815460.0,605429233.0,7309778829.0,5955519312.0,807001603.0,6162728327.0,265468580.0,166466613.0,273455720.0,6575099643.0,658379936.0,2713665096.0,5569959026.0,2149104560.0,2247175109.0,1418548345.0,2349591262.0,6967876747.0,775243464.0,4207827539.0,14121238383.0,12399178701.0,,2417220440.0,1985738328.0,1405191199.0,454674567.0,1243192544.0,302080060.0,,9696666134.0,12580279206.0,6975452864.0,6765994014.0,8924611734.0,36080748.0,2399334970.0,921551715.0,12215300460.0,3659051373.0,973159400.0,887786160.0,3321175244.0,288671933.0,750607641.0,5485541640.0
65,2022-10-19,,2160138945.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66,2022-12-31,1140001121.0,2160138945.0,1985645229.0,143784657.0,959197790.0,585938609.0,3074956918.0,282957358.0,1592815460.0,605429233.0,7309778829.0,5956708229.0,807139168.0,6162728327.0,265468580.0,166523639.0,273478020.0,6575099643.0,658401686.0,2713665096.0,5576755396.0,2149175005.0,2247194585.0,1418548345.0,2349591262.0,6977024286.0,775415044.0,4186086843.0,14121238383.0,12412309001.0,,2417220440.0,1986085599.0,1405364127.0,454760600.0,1243192544.0,302080060.0,,9696666134.0,12580279206.0,6975452864.0,6765994014.0,8924611734.0,36080748.0,2399334970.0,929011650.0,12223453300.0,3659051373.0,973778933.0,887786160.0,3321290234.0,288677471.0,750607641.0,5486762666.0
