,0
2023-02-28,1885.8251797557982
2023-03-01,1910.208466503631
2023-03-02,1894.296916419352
2023-03-03,1929.6039197931918
2023-03-06,1944.1737927831184
2023-03-08,1949.6013036279887
2023-03-09,1928.7701860369368
2023-03-10,1912.6334648066304
2023-03-13,1882.7836247477335
2023-03-14,1867.3702029270282
2023-03-15,1861.629822043221
2023-03-16,1865.5031473309557
2023-03-17,1875.2015179531204
2023-03-20,1864.0403156780264
2023-03-21,1871.1697389222752
2023-03-22,1876.9314789022703
2023-03-23,1869.0954116692706
2023-03-24,1855.9648113927813
2023-03-27,1861.8988280234098
2023-03-28,1853.0586780424655
2023-03-29,1869.3179285644967
2023-03-31,1899.2516508963743
2023-04-03,1901.9511845493735
2023-04-05,1918.2450412232733
2023-04-06,1919.936472807643
2023-04-10,1922.6427243870612
2023-04-11,1929.4107909912052
2023-04-12,1935.7789207853823
2023-04-13,1933.0023526598109
2023-04-17,1919.7997239009946
2023-04-18,1914.7796227233969
2023-04-19,1905.1368099835688
2023-04-20,1906.475715521667
2023-04-21,1908.9090377531973
2023-04-24,1919.4481629890345
2023-04-25,1925.9741152906342
2023-04-26,1932.2062998837241
2023-04-27,1940.1258454011452
2023-04-28,1958.091596942775
2023-05-02,1960.7762938300777
2023-05-03,1952.265115112908
2023-05-04,1970.472674111524
2023-05-05,1966.1199638686987
2023-05-08,1983.0052946820288
2023-05-09,1983.4919517097117
2023-05-10,1986.4992076087728
2023-05-11,1990.2552171303164
2023-05-12,1993.391220223192
2023-05-15,2000.0800586311673
2023-05-16,1992.5948609600616
2023-05-17,1980.2485430173306
2023-05-18,1973.2284978536707
2023-05-19,1984.765771972945
2023-05-22,2007.1511283083294
2023-05-23,2015.81386812755
2023-05-24,2009.09274840573
2023-05-25,2015.7569353022955
2023-05-26,2037.9649191844744
2023-05-29,2044.5711539514707
2023-05-30,2049.255149373222
2023-05-31,2046.5340607236299
2023-06-01,2041.5329512839592
2023-06-02,2046.6713405677488
2023-06-05,2049.0670554682297
2023-06-06,2047.4078219173284
2023-06-07,2060.1406892309597
2023-06-08,2045.9367125445508
2023-06-09,2035.4297651269537
2023-06-12,2042.2858537979637
2023-06-13,2053.680468325224
2023-06-14,2055.8871381221475
2023-06-15,2049.7519095245134
2023-06-16,2061.5659703966826
2023-06-19,2053.623953560189
2023-06-20,2059.237105017235
2023-06-21,2061.997452041754
2023-06-22,2052.9615110639998
2023-06-23,2039.3304366644293
2023-06-26,2041.5096844013626
2023-06-27,2053.094814473903
2023-06-28,2070.9856601574984
2023-06-30,2095.7411342406303
2023-07-03,2105.258592799852
2023-07-04,2112.9322585401032
2023-07-05,2121.345861588508
2023-07-06,2127.704374794284
2023-07-07,2113.083248713089
2023-07-10,2110.123010610597
2023-07-11,2120.988696948929
2023-07-12,2114.977815157447
2023-07-13,2121.1225815060293
2023-07-14,2145.602841844876
2023-07-17,2157.7040956959186
2023-07-18,2163.871234084988
2023-07-19,2169.883168980465
2023-07-20,2184.399420969232
2023-07-21,2153.7171900033636
2023-07-24,2144.932088556534
2023-07-25,2138.147281813551
2023-07-26,2150.9578850163653
2023-07-27,2144.070908163516
2023-07-28,2140.3767468944498
2023-07-31,2151.697590861591
2023-08-01,2147.993113110704
2023-08-02,2130.5076219920684
2023-08-03,2113.646502774856
2023-08-04,2125.656187259596
2023-08-07,2135.43416137763
2023-08-08,2130.3856186268927
2023-08-09,2133.8710572438963
2023-08-10,2122.5239823051747
2023-08-11,2115.631033838441
2023-08-14,2116.737847569371
2023-08-16,2121.716223443257
2023-08-17,2112.9002434680838
2023-08-18,2107.4280141479976
2023-08-21,2119.834145223701
2023-08-22,2121.5077543745747
2023-08-23,2124.656128100994
2023-08-24,2122.100850796681
2023-08-25,2111.8541288664483
2023-08-28,2112.1592325878087
2023-08-29,2110.3368370313406
2023-08-30,2113.1386779381164
2023-08-31,2101.790306598727
2023-09-01,2116.736883215622
2023-09-04,2126.0121323169665
2023-09-05,2132.2393914316117
2023-09-06,2136.1811056868905
2023-09-07,2146.9940889477575
2023-09-08,2154.7658998133284
2023-09-11,2176.016156954779
2023-09-12,2184.153967893012
2023-09-13,2192.7197028648247
2023-09-14,2191.964395675987
2023-09-15,2199.754371209767
2023-09-18,2195.8540933031404
2023-09-20,2178.2697896644577
2023-09-21,2163.150317215361
2023-09-22,2161.905331822188
2023-09-25,2159.4552439390773
2023-09-26,2155.5828740640654
2023-09-27,2164.356554110593
2023-09-28,2142.7220128610033
2023-09-29,2148.39434935133
2023-10-03,2148.39434935133
2023-10-04,2140.63673123281
2023-10-05,2157.122183432273
2023-10-06,2169.5403303309713
2023-10-09,2158.7469952537826
2023-10-10,2176.2510596176817
2023-10-11,2185.2694017489907
2023-10-12,2178.0172205902277
2023-10-13,2175.120541450842
2023-10-16,2168.0232080973074
2023-10-17,2173.6651405730813
2023-10-18,2159.5756081015556
2023-10-19,2152.4197189191377
2023-10-20,2145.622762521633
2023-10-23,2114.792911664299
2023-10-25,2099.2766544902206
2023-10-26,2072.0957583282943
2023-10-27,2093.039008814413
2023-10-30,2104.9474642890737
2023-10-31,2099.3966476065602
2023-11-01,2087.73329225989
2023-11-02,2105.6879011563356
2023-11-03,2114.700472091321
2023-11-06,2130.8750722197246
2023-11-07,2131.176922609413
2023-11-08,2137.179296090563
2023-11-09,2125.7371042653876
2023-11-10,2127.2441388535613
2023-11-13,2126.906415232819
2023-11-15,2153.169459289927
2023-11-16,2166.2705273523975
2023-11-17,2160.992720593494
2023-11-20,2158.3921094393013
2023-11-21,2165.932644490197
2023-11-22,2170.7823188901366
2023-11-23,2167.482118108451
2023-11-24,2163.583854451694
2023-11-28,2175.776707081426
2023-11-29,2195.314138034167
2023-11-30,2198.55125319735
2023-12-01,2215.6657308450494
2023-12-04,2256.9600357310464
2023-12-05,2278.0255270928806
2023-12-06,2288.1959932512123
