,promoter_shares,public_shares,total_shares,free_float_factor,ticker,report_date
434,4861680228,1345728949,6207409177,0.2168,COALINDIA,2018-06-30
435,137745090,127723490,265468580,0.4811,DIVISLAB,2025-09-30
436,137745090,127723490,265468580,0.4811,DIVISLAB,2025-06-30
437,137755090,127713490,265468580,0.4811,DIVISLAB,2025-03-31
438,137755090,127713490,265468580,0.4811,DIVISLAB,2024-12-31
439,137760090,127708490,265468580,0.4811,DIVISLAB,2024-09-30
440,137772090,127696490,265468580,0.481,DIVISLAB,2024-06-30
441,137833690,127634890,265468580,0.4808,DIVISLAB,2024-03-31
442,137841600,127626980,265468580,0.4808,DIVISLAB,2023-12-31
443,137856600,127611980,265468580,0.4807,DIVISLAB,2023-09-30
444,137856600,127611980,265468580,0.4807,DIVISLAB,2023-06-30
445,137883200,127585380,265468580,0.4806,DIVISLAB,2023-03-31
446,137886200,127582380,265468580,0.4806,DIVISLAB,2022-12-31
447,137894200,127574380,265468580,0.4806,DIVISLAB,2022-09-30
448,137894200,127574380,265468580,0.4806,DIVISLAB,2022-06-30
449,137894200,127574380,265468580,0.4806,DIVISLAB,2022-03-31
450,137899200,127569380,265468580,0.4805,DIVISLAB,2021-12-31
451,137899200,127569380,265468580,0.4805,DIVISLAB,2021-09-30
452,137899200,127569380,265468580,0.4805,DIVISLAB,2021-06-30
453,137899200,127569380,265468580,0.4805,DIVISLAB,2021-03-31
454,137899200,127569380,265468580,0.4805,DIVISLAB,2020-12-31
455,137934360,127534220,265468580,0.4804,DIVISLAB,2020-09-30
456,137954360,127514220,265468580,0.4803,DIVISLAB,2020-06-30
457,137969360,127499220,265468580,0.4803,DIVISLAB,2020-03-31
458,138039360,127429220,265468580,0.48,DIVISLAB,2019-12-31
459,138069360,127399220,265468580,0.4799,DIVISLAB,2019-09-30
460,138069360,127399220,265468580,0.4799,DIVISLAB,2019-06-30
461,138069360,127399220,265468580,0.4799,DIVISLAB,2019-03-31
462,138074360,127394220,265468580,0.4799,DIVISLAB,2018-12-31
463,138106078,127362502,265468580,0.4798,DIVISLAB,2018-09-30
464,138126232,127342348,265468580,0.4797,DIVISLAB,2018-06-30
465,222305640,610209695,834613760,0.7311,DRREDDY,2025-09-30
466,222305640,610065210,834581775,0.731,DRREDDY,2025-06-30
467,222305640,609697465,834455365,0.7307,DRREDDY,2025-03-31
468,222305640,610815340,834423960,0.732,DRREDDY,2024-12-31
469,44461128,122148104,166876946,0.732,DRREDDY,2024-09-30
470,44461128,122084259,166829701,0.7318,DRREDDY,2024-06-30
471,44461128,122067347,166818266,0.7317,DRREDDY,2024-03-31
472,44461128,122052235,166809397,0.7317,DRREDDY,2023-12-31
473,44461128,122024849,166784764,0.7316,DRREDDY,2023-09-30
474,44461128,121748809,166555501,0.731,DRREDDY,2023-06-30
475,44461128,121695604,166527876,0.7308,DRREDDY,2023-03-31
476,44461128,121639750,166523639,0.7305,DRREDDY,2022-12-31
477,44461128,121556924,166466613,0.7302,DRREDDY,2022-09-30
478,44461128,121518684,166441018,0.7301,DRREDDY,2022-06-30
479,44461128,121496250,166425849,0.73,DRREDDY,2022-03-31
480,44461128,121484193,166416892,0.73,DRREDDY,2021-12-31
481,44461128,121451912,166398811,0.7299,DRREDDY,2021-09-30
482,44461128,121367585,166360134,0.7295,DRREDDY,2021-06-30
483,44461128,121264902,166301231,0.7292,DRREDDY,2021-03-31
484,44458528,121478084,166298116,0.7305,DRREDDY,2020-12-31
485,44458528,121427697,166269279,0.7303,DRREDDY,2020-09-30
486,44458528,121403788,166232516,0.7303,DRREDDY,2020-06-30
487,44458528,121317604,166172082,0.7301,DRREDDY,2020-03-31
488,44458528,121308670,166163148,0.7301,DRREDDY,2019-12-31
489,44458528,121290120,166145748,0.73,DRREDDY,2019-09-30
490,44458528,121258212,166113840,0.73,DRREDDY,2019-06-30
491,44458528,121389444,166065948,0.731,DRREDDY,2019-03-31
492,44458528,121400260,166060861,0.7311,DRREDDY,2018-12-31
493,44458528,121587329,166045857,0.7323,DRREDDY,2018-09-30
494,44458528,121514700,165973228,0.7321,DRREDDY,2018-06-30
495,44398828,121512079,165910907,0.7324,DRREDDY,2018-03-31
496,134564944,139713046,274277990,0.5094,EICHERMOT,2025-09-30
497,134564944,139687296,274252240,0.5093,EICHERMOT,2025-06-30
498,134564944,139599136,274164080,0.5092,EICHERMOT,2025-03-31
499,134564944,139567516,274132460,0.5091,EICHERMOT,2024-12-31
500,134564944,139495766,274060710,0.509,EICHERMOT,2024-09-30
501,134565087,139445428,274010515,0.5089,EICHERMOT,2024-06-30
502,134565087,139240543,273805630,0.5085,EICHERMOT,2024-03-31
503,134565087,139210413,273775500,0.5085,EICHERMOT,2023-12-31
504,134565087,139184373,273749460,0.5084,EICHERMOT,2023-09-30
505,134565087,139093373,273658460,0.5083,EICHERMOT,2023-06-30
506,134565087,138916483,273481570,0.508,EICHERMOT,2023-03-31
507,134565087,138912933,273478020,0.5079,EICHERMOT,2022-12-31
508,134565087,138890633,273455720,0.5079,EICHERMOT,2022-09-30
509,134565087,138863765,273428852,0.5079,EICHERMOT,2022-06-30
510,134565039,138858063,273423102,0.5079,EICHERMOT,2022-03-31
511,134564270,138846752,273411022,0.5078,EICHERMOT,2021-12-31
512,134564270,138835402,273399672,0.5078,EICHERMOT,2021-09-30
513,134564270,138824152,273388422,0.5078,EICHERMOT,2021-06-30
514,134564270,138771652,273335922,0.5077,EICHERMOT,2021-03-31
515,134564270,138692560,273256830,0.5076,EICHERMOT,2020-12-31
516,134564270,138664880,273229150,0.5075,EICHERMOT,2020-09-30
517,13456427,13849046,27305473,0.5072,EICHERMOT,2020-03-31
518,13456427,13848135,27304562,0.5072,EICHERMOT,2019-12-31
519,13456427,13833295,27289722,0.5069,EICHERMOT,2019-09-30
520,13456427,13832525,27288952,0.5069,EICHERMOT,2019-06-30
521,13456427,13827046,27283473,0.5068,EICHERMOT,2019-03-31
522,13456427,13819226,27275653,0.5067,EICHERMOT,2018-12-31
523,13456427,13812176,27268603,0.5065,EICHERMOT,2018-09-30
524,13762184,13504116,27266300,0.4953,EICHERMOT,2018-06-30
525,13762184,13493365,27255549,0.4951,EICHERMOT,2018-03-31
526,3387576864,3141623303,6575099643,0.4778,GAIL,2025-09-30
527,3387576864,3142351727,6575099643,0.4779,GAIL,2025-06-30
528,3387576864,3141825383,6575099643,0.4778,GAIL,2025-03-31
529,3387576864,3139402043,6575099643,0.4775,GAIL,2024-12-31
530,3387576864,3136632311,6575099643,0.477,GAIL,2024-09-30
531,3387576864,3137416871,6575099643,0.4772,GAIL,2024-06-30
532,3387576864,3139761785,6575099643,0.4775,GAIL,2024-03-31
533,3387580047,3139959586,6575099643,0.4776,GAIL,2023-12-31
534,3387580047,3138698758,6575099643,0.4774,GAIL,2023-09-30
535,3387580047,3138698758,6575099643,0.4774,GAIL,2023-06-30
536,3387580047,3138726189,6575099643,0.4774,GAIL,2023-03-31
537,3387580047,3138529605,6575099643,0.4773,GAIL,2022-12-31
538,3387580047,3139532001,6575099643,0.4775,GAIL,2022-09-30
539,3387580047,3139532001,6575099643,0.4775,GAIL,2022-09-07
540,2258386698,2093987742,4383399762,0.4777,GAIL,2022-06-30
541,2284590082,2126104971,4440385225,0.4788,GAIL,2022-03-31
542,2284590082,2125821297,4440385225,0.4787,GAIL,2021-12-31
543,2284590082,2121939255,4440385225,0.4779,GAIL,2021-09-30
544,2284590082,2123108805,4440385225,0.4781,GAIL,2021-06-30
545,2284590082,2124268995,4440385225,0.4784,GAIL,2021-03-31
546,2334449987,2144705947,4510141866,0.4755,GAIL,2020-12-31
547,2334449987,2145507853,4510141866,0.4757,GAIL,2020-09-30
548,2334449987,2146130371,4539703374,0.4727,GAIL,2020-06-30
549,2334449987,2150074135,4535759610,0.474,GAIL,2020-03-31
550,2334449987,2143330859,4510141866,0.4752,GAIL,2019-12-31
551,2354058092,2116025942,4510141866,0.4692,GAIL,2019-09-30
552,2354058092,2114220644,4552004996,0.4645,GAIL,2019-06-30
553,1177029046,1057110322,2276002498,0.4645,GAIL,2019-06-30
554,1177029046,1058775604,2274337216,0.4655,GAIL,2019-03-31
555,1196872456,1040509120,2255070934,0.4614,GAIL,2018-12-31
556,1196872456,1041989110,2255070933,0.4621,GAIL,2018-09-30
557,1195521226,1045857454,2255070933,0.4638,GAIL,2018-06-30
558,293411523,385058323,680580576,0.5658,GRASIM,2025-09-30
559,293411523,385141579,680580576,0.5659,GRASIM,2025-06-30
560,293411523,385103710,680580576,0.5658,GRASIM,2025-03-31
561,293411523,385084837,680580576,0.5658,GRASIM,2024-12-31
562,293411523,385001361,680550136,0.5657,GRASIM,2024-09-30
563,293029623,385465280,680550136,0.5664,GRASIM,2024-06-30
564,293029623,385399532,680550136,0.5663,GRASIM,2024-03-31
565,293029623,385329534,680516022,0.5662,GRASIM,2024-02-09
566,281464723,374800504,658448791,0.5692,GRASIM,2023-12-31
567,281464723,374700566,658448791,0.5691,GRASIM,2023-09-30
568,281464723,374994526,658432126,0.5695,GRASIM,2023-06-30
569,281464723,374972276,658432126,0.5695,GRASIM,2023-03-31
570,281464723,374903018,658401686,0.5694,GRASIM,2022-12-31
571,281464723,375068438,658379936,0.5697,GRASIM,2022-09-30
572,281464723,375356953,658295426,0.5702,GRASIM,2022-06-30
573,281464723,375296916,658295426,0.5701,GRASIM,2022-03-31
574,280042723,376586297,658286540,0.5721,GRASIM,2021-12-31
575,278121223,378356296,658161372,0.5749,GRASIM,2021-09-30
576,277001723,379790208,658077851,0.5771,GRASIM,2021-06-30
577,275256250,381470250,658044844,0.5797,GRASIM,2021-03-31
578,272542400,384051229,657951004,0.5837,GRASIM,2020-12-31
579,269192734,387378109,657928218,0.5888,GRASIM,2020-09-30
580,264847734,391601359,657806468,0.5953,GRASIM,2020-06-30
581,264847734,391593829,657798938,0.5953,GRASIM,2020-03-31
582,263857734,392583829,657798938,0.5968,GRASIM,2019-12-31
583,264057728,392257631,657672734,0.5964,GRASIM,2019-09-30
584,264057728,392193937,657609040,0.5964,GRASIM,2019-06-30
585,264057728,392242819,657598363,0.5965,GRASIM,2019-03-31
586,264057728,392235744,657591288,0.5965,GRASIM,2018-12-31
587,263605860,393985428,657591288,0.5991,GRASIM,2018-09-30
588,263605860,393972393,657578253,0.5991,GRASIM,2018-06-30
589,263605860,393765575,657371435,0.599,GRASIM,2018-03-31
590,1650301111,1055209178,2713665096,0.3889,HCLTECH,2025-09-30
591,1650301111,1059004363,2713665096,0.3902,HCLTECH,2025-06-30
592,1650301111,1058609882,2713665096,0.3901,HCLTECH,2025-03-31
593,1650301111,1059968198,2713665096,0.3906,HCLTECH,2024-12-31
594,1650301111,1058415654,2713665096,0.39,HCLTECH,2024-09-30
595,1650301111,1055832138,2713665096,0.3891,HCLTECH,2024-06-30
596,1650301111,1057689406,2713665096,0.3898,HCLTECH,2024-03-31
597,1650301111,1057657174,2713665096,0.3898,HCLTECH,2023-12-31
598,1650301111,1057605309,2713665096,0.3897,HCLTECH,2023-09-30
599,1650301111,1057170991,2713665096,0.3896,HCLTECH,2023-06-30
600,1650301111,1057063832,2713665096,0.3895,HCLTECH,2023-03-31
601,1647603826,1059741270,2713665096,0.3905,HCLTECH,2022-12-31
602,1647603826,1059741270,2713665096,0.3905,HCLTECH,2022-09-30
603,1647603826,1059741270,2713665096,0.3905,HCLTECH,2022-06-30
604,1647603826,1059741270,2713665096,0.3905,HCLTECH,2022-03-31
605,1637190274,1070974822,2713665096,0.3947,HCLTECH,2021-12-31
606,1637190274,1076474822,2713665096,0.3967,HCLTECH,2021-09-30
607,1637190274,1076474822,2713665096,0.3967,HCLTECH,2021-06-30
608,1637190274,1076474822,2713665096,0.3967,HCLTECH,2021-03-31
609,1637190274,1076474822,2713665096,0.3967,HCLTECH,2020-12-31
610,1637190274,1076474822,2713665096,0.3967,HCLTECH,2020-09-30
611,1637190274,1076474822,2713665096,0.3967,HCLTECH,2020-06-30
612,1637190274,1076474822,2713665096,0.3967,HCLTECH,2020-03-31
613,1627635324,1086029772,2713665096,0.4002,HCLTECH,2019-12-31
614,1627635324,1086029772,2713665096,0.4002,HCLTECH,2019-12-10
615,813817662,542583526,1356401188,0.4,HCLTECH,2019-09-30
616,813817662,542461206,1356278868,0.4,HCLTECH,2019-06-30
617,813817662,542461206,1356278868,0.4,HCLTECH,2019-03-31
618,813817662,542443606,1356261268,0.4,HCLTECH,2018-12-31
619,837880610,554641054,1392521664,0.3983,HCLTECH,2018-09-30
620,837880610,554526094,1392406704,0.3983,HCLTECH,2018-06-30
621,837880610,554365774,1392246384,0.3982,HCLTECH,2018-03-31
622,0,6623793396,7652221674,0.8656,HDFCBANK,2025-03-31
623,0,6619887266,7648315544,0.8655,HDFCBANK,2024-12-31
