,SYMBOL,COMPANY NAME,SERIES,PURPOSE,FACE VALUE,EX-DATE,RECORD DATE,BOOK CLOSURE START DATE,BOOK CLOSURE END DATE,payout_per_s
17,BAJAJFINSV,Bajaj Finserv Limited,EQ,Annual General Meeting And Dividend Rs.1.25 Per Share,1,29-Jun-2011,-,01-Jul-2011,13-Jul-2011,1.25
18,BAJAJFINSV,Bajaj Finserv Limited,EQ,Annual General Meeting / Dividend Re. 1 Per Share,1,08-Jul-2010,-,10-Jul-2010,21-Jul-2010,1
19,BAJAJFINSV,Bajaj Finserv Limited,EQ,Agm/Div-Re.1/- Per Share,1,02-Jul-2009,-,04-Jul-2009,15-Jul-2009,1
0,BAJAJHLDNG,Bajaj Holdings & Investment Limited,EQ,Interim Dividend - Rs 65 Per Share,10,22-Sep-2025,22-Sep-2025,-,-,65
1,BAJAJHLDNG,Bajaj Holdings & Investment Limited,EQ,Dividend - Rs 28 Per Share,10,27-Jun-2025,27-Jun-2025,-,-,28
2,BAJAJHLDNG,Bajaj Holdings & Investment Limited,EQ,Interim Dividend - Rs 65 Per Share,10,25-Sep-2024,25-Sep-2024,-,-,65
3,BAJAJHLDNG,Bajaj Holdings & Investment Limited,EQ,Dividend - Rs 21 Per Share,10,28-Jun-2024,28-Jun-2024,-,-,21
4,BAJAJHLDNG,Bajaj Holdings & Investment Limited,EQ,Interim Dividend - Rs 110 Per Share,10,28-Sep-2023,29-Sep-2023,-,-,110
5,BAJAJHLDNG,Bajaj Holdings & Investment Limited,EQ,Dividend - Rs 13 Per Share,10,30-Jun-2023,30-Jun-2023,-,-,13
6,BAJAJHLDNG,Bajaj Holdings & Investment Limited,EQ,Interim Dividend - Rs  110 Per Share,10,22-Sep-2022,23-Sep-2022,-,-,110
7,BAJAJHLDNG,Bajaj Holdings & Investment Limited,EQ,Dividend - Rs 25 Per Share,10,30-Jun-2022,01-Jul-2022,-,-,25
8,BAJAJHLDNG,Bajaj Holdings & Investment Limited,EQ, Interim Dividend - Rs 90 Per Share,10,28-Sep-2021,29-Sep-2021,-,-,90
9,BAJAJHLDNG,Bajaj Holdings & Investment Limited,EQ, Annual General Meeting/Dividend - Rs 40 Per Share,10,08-Jul-2021,-,10-Jul-2021,22-Jul-2021,40
10,BAJAJHLDNG,Bajaj Holdings & Investment Limited,EQ, Interim Dividend - Rs 40 Per Share,10,03-Mar-2020,04-Mar-2020,-,-,40
11,BAJAJHLDNG,Bajaj Holdings & Investment Limited,EQ, Annual General Meeting/ Dividend - Rs 32.50 Per Share,10,11-Jul-2019,-,13-Jul-2019,26-Jul-2019,32.50
12,BAJAJHLDNG,Bajaj Holdings & Investment Limited,EQ, Annual General Meeting / Dividend- Rs 40 Per Share,10,05-Jul-2018,-,07-Jul-2018,20-Jul-2018,40
13,BAJAJHLDNG,Bajaj Holdings & Investment Limited,EQ, Annual General Meeting/Dividend - Rs  32.50 Per Share,10,06-Jul-2017,-,08-Jul-2017,20-Jul-2017,32.50
14,BAJAJHLDNG,Bajaj Holdings & Investment Limited,EQ, Annual General Meeting/ Dividend - Rs 7.50/- Per Share,10,14-Jul-2016,-,16-Jul-2016,27-Jul-2016,7.50
15,BAJAJHLDNG,Bajaj Holdings & Investment Limited,EQ, Interim Dividend - Rs 25/- Per Share (Purpose Revised),10,16-Mar-2016,17-Mar-2016,-,-,25
16,BAJAJHLDNG,Bajaj Holdings & Investment Limited,EQ,Annual General Meeting/Dividend Rs 32.50/- Per Share,10,09-Jul-2015,-,11-Jul-2015,23-Jul-2015,32.50
17,BAJAJHLDNG,Bajaj Holdings & Investment Limited,EQ,Annual General Meeting / Dividend - Rs 30/- Per Share,10,03-Jul-2014,-,05-Jul-2014,17-Jul-2014,30
18,BAJAJHLDNG,Bajaj Holdings & Investment Limited,EQ,Annual General Meeting / Dividend - Rs.25/- Per Equity Share,10,04-Jul-2013,-,06-Jul-2013,19-Jul-2013,25
19,BAJAJHLDNG,Bajaj Holdings & Investment Limited,EQ,Annual General Meeting And Dividend - Rs.25/- Per Share,10,05-Jul-2012,-,07-Jul-2012,18-Jul-2012,25
2,BAJFINANCE,Bajaj Finance Limited,EQ,Dividend - Rs 44 Per Share,1,30-May-2025,30-May-2025,-,-,44
3,BAJFINANCE,Bajaj Finance Limited,EQ,Special Dividend - Rs 12 Per Share,1,09-May-2025,09-May-2025,-,-,12
4,BAJFINANCE,Bajaj Finance Limited,EQ,Dividend - Rs 36 Per Share,1,21-Jun-2024,21-Jun-2024,-,-,36
5,BAJFINANCE,Bajaj Finance Limited,EQ,Dividend - Rs 30 Per Share,1,30-Jun-2023,30-Jun-2023,-,-,30
