,SYMBOL,COMPANY NAME,SERIES,PURPOSE,FACE VALUE,EX-DATE,RECORD DATE,BOOK CLOSURE START DATE,BOOK CLOSURE END DATE,payout_per_s
2,INDUSINDBK,IndusInd Bank Limited,EQ,Annual General Meeting/Dividend - Rs 8.50 Per Share,10,11-Aug-2022,12-Aug-2022,-,-,8.50
3,INDUSINDBK,IndusInd Bank Limited,EQ, Dividend - Rs 5 Per Share,10,17-Aug-2021,19-Aug-2021,-,-,5
4,INDUSINDBK,IndusInd Bank Limited,EQ, Annual General Meeting/Dividend - Rs 7.50 Per Share,10,08-Aug-2019,-,10-Aug-2019,16-Aug-2019,7.50
5,INDUSINDBK,IndusInd Bank Limited,EQ, Annual General Meeting / Dividend- Rs 7.50 Per Share (Date Revised),10,18-Jul-2018,-,20-Jul-2018,26-Jul-2018,7.50
6,INDUSINDBK,IndusInd Bank Limited,EQ, Annual General Meeting/Dividend - Rs 6/- Per Share,10,18-Jul-2017,-,20-Jul-2017,26-Jul-2017,6
7,INDUSINDBK,IndusInd Bank Limited,EQ, Annual General Meeting/ Dividend -Rs 4.50/- Per Share,10,23-Jun-2016,-,25-Jun-2016,01-Jul-2016,4.50
8,INDUSINDBK,IndusInd Bank Limited,EQ,Annual General Meeting And Dividend Rs.4/- Per Share,10,07-Aug-2015,-,11-Aug-2015,17-Aug-2015,4
9,INDUSINDBK,IndusInd Bank Limited,EQ,Annual General Meeting / Dividend - Rs 3.50/- Per Share,10,16-Jun-2014,-,18-Jun-2014,27-Jun-2014,3.50
10,INDUSINDBK,IndusInd Bank Limited,EQ,Annual General Meeting / Dividend Rs.3/- Per Equity Share,10,17-Jun-2013,-,19-Jun-2013,28-Jun-2013,3
11,INDUSINDBK,IndusInd Bank Limited,EQ,Annual General Meeting/Dividend Rs 2.20 Per Share,10,05-Jul-2012,-,07-Jul-2012,17-Jul-2012,2.20
12,INDUSINDBK,IndusInd Bank Limited,EQ,Annual General Meeting And Dividend Rs.2/- Per Share,10,30-Jun-2011,-,05-Jul-2011,15-Jul-2011,2
13,INDUSINDBK,IndusInd Bank Limited,EQ,Annual General Meeting And Dividend Rs.1.80 Per Share,10,17-Jun-2010,-,19-Jun-2010,28-Jun-2010,1.80
14,INDUSINDBK,IndusInd Bank Limited,EQ,Agm/Div-Rs.1.20 Per Share,10,22-Jun-2009,-,24-Jun-2009,03-Jul-2009,1.20
15,INDUSINDBK,IndusInd Bank Limited,EQ,Agm/Dividend - 6%        Bc Dates Revised,10,04-Sep-2008,-,08-Sep-2008,22-Sep-2008,
16,INDUSINDBK,IndusInd Bank Limited,EQ,Agm/Dividend-6%          Purpose Revised,10,31-Aug-2007,-,04-Sep-2007,18-Sep-2007,
18,INDUSINDBK,IndusInd Bank Limited,EQ,Agm/Dividend-18%,10,18-Aug-2005,-,20-Aug-2005,03-Sep-2005,
1,INFY,Infosys Limited,EQ,Interim Dividend - Rs 23 Per Share,5,27-Oct-2025,27-Oct-2025,-,-,23
2,INFY,Infosys Limited,EQ,Dividend - Rs 22 Per Share,5,30-May-2025,30-May-2025,-,-,22
3,INFY,Infosys Limited,EQ,Interim Dividend - Rs 21 Per Share,5,29-Oct-2024,29-Oct-2024,-,-,21
4,INFY,Infosys Limited,EQ,Annual General Meeting/Special Dividend - Rs 8 Per Share /Dividend - Rs 20 Per Share,5,31-May-2024,31-May-2024,-,-,8
5,INFY,Infosys Limited,EQ,Interim Dividend - Rs 18 Per Share,5,25-Oct-2023,25-Oct-2023,-,-,18
6,INFY,Infosys Limited,EQ,Annual General Meeting/Dividend - Rs 17.50 Per Share,5,02-Jun-2023,02-Jun-2023,-,-,17.50
7,INFY,Infosys Limited,EQ,Interim Dividend - Rs 16.50 Per Share,5,27-Oct-2022,28-Oct-2022,-,-,16.50
8,INFY,Infosys Limited,EQ,Annual General Meeting/Dividend - Rs 16 Per Share,5,31-May-2022,01-Jun-2022,-,-,16
9,INFY,Infosys Limited,EQ, Interim Dividend - Rs 15 Per Sh,5,26-Oct-2021,27-Oct-2021,-,-,15
10,INFY,Infosys Limited,EQ, Annual General Meeting/Dividend - Rs 15 Per Share,5,31-May-2021,01-Jun-2021,-,-,15
11,INFY,Infosys Limited,EQ, Interim Dividend - Rs 12 Per Share,5,23-Oct-2020,26-Oct-2020,-,-,12
12,INFY,Infosys Limited,EQ, Dividend - Rs 9.50 Per Share,5,29-May-2020,01-Jun-2020,-,-,9.50
13,INFY,Infosys Limited,EQ, Interim Dividend - Rs 8 Per Share,5,23-Oct-2019,24-Oct-2019,-,-,8
14,INFY,Infosys Limited,EQ, Annual General Meeting/Dividend- Rs 10.50 Per Share,5,13-Jun-2019,-,15-Jun-2019,15-Jun-2019,10.50
15,INFY,Infosys Limited,EQ, Special Dividend - Rs 4 Per Share,5,24-Jan-2019,25-Jan-2019,-,-,4
16,INFY,Infosys Limited,EQ, Interim Dividend - Rs 7 Per Share,5,25-Oct-2018,27-Oct-2018,-,-,7
18,INFY,Infosys Limited,EQ, Annual General Meeting/ Final Dividend Rs 20.50 Per Shar/ Special Dividend - Rs 10 Per Share,5,14-Jun-2018,-,16-Jun-2018,16-Jun-2018,20.50
19,INFY,Infosys Limited,EQ, Interim Dividend - Rs 13/- Per Share (Purpose Revised),5,31-Oct-2017,01-Nov-2017,-,-,13
0,IOC,Indian Oil Corporation Limited,EQ,Dividend - Rs 3 Per Share,10,08-Aug-2025,08-Aug-2025,-,-,3
1,IOC,Indian Oil Corporation Limited,EQ,Dividend - Rs 7 Per Share,10,12-Jul-2024,12-Jul-2024,-,-,7
2,IOC,Indian Oil Corporation Limited,EQ,Interim Dividend - Rs 5 Per Share,10,10-Nov-2023,10-Nov-2023,-,-,5
3,IOC,Indian Oil Corporation Limited,EQ,Dividend - Rs 3 Per Share,10,28-Jul-2023,28-Jul-2023,-,-,3
4,IOC,Indian Oil Corporation Limited,EQ,Dividend - Rs 2.40 Per Share,10,11-Aug-2022,12-Aug-2022,-,-,2.40
6,IOC,Indian Oil Corporation Limited,EQ,Interim Dividend - Rs  4 Per Share,10,09-Feb-2022,10-Feb-2022,-,-,4
7,IOC,Indian Oil Corporation Limited,EQ, Interim Dividend - Rs 5 Per Share,10,11-Nov-2021,12-Nov-2021,-,-,5
8,IOC,Indian Oil Corporation Limited,EQ, Dividend - Rs 1.50 Per Share,10,05-Aug-2021,06-Aug-2021,-,-,1.50
9,IOC,Indian Oil Corporation Limited,EQ, Interim Dividend - Rs 3 Per Share,10,23-Mar-2021,24-Mar-2021,-,-,3
10,IOC,Indian Oil Corporation Limited,EQ, Interim Dividend - Rs 7.50  Per Share,10,09-Feb-2021,10-Feb-2021,-,-,7.50
11,IOC,Indian Oil Corporation Limited,EQ, Interim Dividend - Rs 4.25 Per Share,10,23-Mar-2020,25-Mar-2020,-,-,4.25
12,IOC,Indian Oil Corporation Limited,EQ, Annual General Meeting/Dividend - Re 1 Per Share,10,21-Aug-2019,-,23-Aug-2019,28-Aug-2019,1
13,IOC,Indian Oil Corporation Limited,EQ, Interim Dividend - Rs 1.50 Per Share,10,27-Mar-2019,28-Mar-2019,-,-,1.50
14,IOC,Indian Oil Corporation Limited,EQ, Interim Dividend - Rs 6.75 Per Share,10,21-Dec-2018,25-Dec-2018,-,-,6.75
16,IOC,Indian Oil Corporation Limited,EQ, Dividend Rs 2 Per Share,10,20-Aug-2018,-,23-Aug-2018,29-Aug-2018,2
18,IOC,Indian Oil Corporation Limited,EQ, Interim Dividend Rs 19/- Per Share,10,08-Feb-2018,09-Feb-2018,-,-,19
19,IOC,Indian Oil Corporation Limited,EQ, Annual General Meeting/Dividend - Re 1/- Per Share,10,18-Aug-2017,-,22-Aug-2017,29-Aug-2017,1
0,ITC,ITC Limited,EQ,Dividend - Rs 7.85 Per Share,1,28-May-2025,28-May-2025,-,-,7.85
1,ITC,ITC Limited,EQ,Interim Dividend - Rs 6.50 Per Share,1,12-Feb-2025,12-Feb-2025,-,-,6.50
3,ITC,ITC Limited,EQ,Dividend - Rs 7.50 Per Share,1,04-Jun-2024,04-Jun-2024,-,-,7.50
4,ITC,ITC Limited,EQ,Interim Dividend - Rs 6.25 Per Share,1,08-Feb-2024,08-Feb-2024,-,-,6.25
5,ITC,ITC Limited,EQ,Dividend - Rs 6.75 Per Share /Special Dividend - Rs 2.75 Per Share,1,30-May-2023,30-May-2023,-,-,6.75
6,ITC,ITC Limited,EQ,Interim Dividend - Rs  6 Per Share,1,15-Feb-2023,15-Feb-2023,-,-,6
7,ITC,ITC Limited,EQ,Dividend - Rs 6.25 Per Share,1,26-May-2022,28-May-2022,-,-,6.25
8,ITC,ITC Limited,EQ,Interim Dividend - Rs 5.25 Per Share,1,14-Feb-2022,15-Feb-2022,-,-,5.25
9,ITC,ITC Limited,EQ, Dividend - Rs 5.75 Per Share,1,10-Jun-2021,11-Jun-2021,-,-,5.75
10,ITC,ITC Limited,EQ, Interim Dividend - Rs 5 Per Share,1,22-Feb-2021,23-Feb-2021,-,-,5
11,ITC,ITC Limited,EQ, Dividend - Rs 10.15 Per Share,1,06-Jul-2020,-,08-Jul-2020,09-Jul-2020,10.15
12,ITC,ITC Limited,EQ, Dividend - Rs 5.75 Per Share,1,22-May-2019,-,24-May-2019,27-May-2019,5.75
13,ITC,ITC Limited,EQ, Dividend- Rs 5.15 Per Share,1,25-May-2018,-,29-May-2018,31-May-2018,5.15
14,ITC,ITC Limited,EQ, Dividend-Rs 4.75 Per Share,1,05-Jun-2017,-,07-Jun-2017,09-Jun-2017,4.75
16,ITC,ITC Limited,EQ, Dividend-Rs.8.50 Per Share (Including Special Dividend Of Rs.2/- Per Share).,1,30-May-2016,-,01-Jun-2016,03-Jun-2016,8.50
17,ITC,ITC Limited,EQ,Dividend - Rs 6.25/- Per Share,1,03-Jun-2015,-,05-Jun-2015,09-Jun-2015,6.25
18,ITC,ITC Limited,EQ,Dividend - Rs 6/- Per Share,1,03-Jun-2014,-,05-Jun-2014,09-Jun-2014,6
19,ITC,ITC Limited,EQ,Annual General Meeting And Dividend Rs.5.25 Per Share,1,31-May-2013,-,04-Jun-2013,07-Jun-2013,5.25
0,JIOFIN,Jio Financial Services Limited,EQ,Dividend - Re 0.50 Per Share,10,11-Aug-2025,11-Aug-2025,-,-,0.50
0,JSWSTEEL,JSW Steel Limited,EQ,Dividend - Rs 2.80 Per Share,1,08-Jul-2025,08-Jul-2025,-,-,2.80
1,JSWSTEEL,JSW Steel Limited,EQ,Annual General Meeting/Dividend - Rs 7.30 Per Share,1,09-Jul-2024,-,10-Jul-2024,12-Jul-2024,7.30
2,JSWSTEEL,JSW Steel Limited,EQ,Annual General Meeting/Dividend - Rs 3.40 Per Share,1,11-Jul-2023,-,12-Jul-2023,14-Jul-2023,3.40
3,JSWSTEEL,JSW Steel Limited,EQ,Annual General Meeting/Dividend - Rs 17.35 Per Share,1,04-Jul-2022,-,06-Jul-2022,08-Jul-2022,17.35
4,JSWSTEEL,JSW Steel Limited,EQ, Annual General Meeting/Dividend - Rs 6.50 Per Share,1,05-Jul-2021,-,07-Jul-2021,09-Jul-2021,6.50
5,JSWSTEEL,JSW Steel Limited,EQ, Dividend - Rs 2 Per Share,1,06-Jul-2020,-,08-Jul-2020,10-Jul-2020,2
6,JSWSTEEL,JSW Steel Limited,EQ, Annual General Meeting/Dividend Rs 4.10 Per Share,1,08-Jul-2019,-,10-Jul-2019,12-Jul-2019,4.10
7,JSWSTEEL,JSW Steel Limited,EQ, Annual General Meeting / Dividend- Rs 3.20 Per Share,1,06-Jul-2018,-,10-Jul-2018,12-Jul-2018,3.20
8,JSWSTEEL,JSW Steel Limited,EQ, Annual General Meeting/Dividend - Rs 2.25/- Per Share,1,12-Jun-2017,-,14-Jun-2017,16-Jun-2017,2.25
10,JSWSTEEL,JSW Steel Limited,EQ, Annual General Meeting/ Dividend - Rs 7.50/- Per Share,1,04-Jul-2016,-,06-Jul-2016,08-Jul-2016,7.50
11,JSWSTEEL,JSW Steel Limited,EQ,Annual General Meeting/ Dividend - Rs 11/- Per Share,1,06-Jul-2015,-,08-Jul-2015,10-Jul-2015,11
12,JSWSTEEL,JSW Steel Limited,EQ,Annual General Meeting / Dividend - Rs 11/- Per Share,1,07-Jul-2014,-,09-Jul-2014,11-Jul-2014,11
13,JSWSTEEL,JSW Steel Limited,EQ,Annual General Meeting / Dividend - Rs.10/- Per Equity Share,1,15-Jul-2013,-,17-Jul-2013,19-Jul-2013,10
14,JSWSTEEL,JSW Steel Limited,EQ,Annual General Meeting / Dividend - Rs. 7.50 Per Share,1,12-Jul-2012,-,14-Jul-2012,16-Jul-2012,7.50
15,JSWSTEEL,JSW Steel Limited,EQ,Annual General Meeting And Dividend Rs.12.25 Per Share,1,11-Jul-2011,-,13-Jul-2011,15-Jul-2011,12.25
16,JSWSTEEL,JSW Steel Limited,EQ,Agm/Dividend Rs 9.50 Per Share,1,14-Jun-2010,-,16-Jun-2010,18-Jun-2010,9.50
17,JSWSTEEL,JSW Steel Limited,EQ,Agm/Div-Re.1/- Per Share,1,29-Jun-2009,-,01-Jul-2009,03-Jul-2009,1
18,JSWSTEEL,JSW Steel Limited,EQ,Agm/Dividend - 140%,1,21-May-2008,-,23-May-2008,27-May-2008,
0,KOTAKBANK,Kotak Mahindra Bank Limited,EQ,Dividend - Rs 2.50 Per Share,5,18-Jul-2025,18-Jul-2025,-,-,2.50
1,KOTAKBANK,Kotak Mahindra Bank Limited,EQ,Dividend - Rs 2 Per Share,5,19-Jul-2024,19-Jul-2024,-,-,2
2,KOTAKBANK,Kotak Mahindra Bank Limited,EQ,Dividend - Rs 1.50 Per Sh,5,04-Aug-2023,04-Aug-2023,-,-,1.50
3,KOTAKBANK,Kotak Mahindra Bank Limited,EQ,Dividend - Rs 1.10 Per Share,5,11-Aug-2022,12-Aug-2022,-,-,1.10
4,KOTAKBANK,Kotak Mahindra Bank Limited,EQ, Dividend - Rs 0.90 Per Share,5,11-Aug-2021,12-Aug-2021,-,-,0.90
5,KOTAKBANK,Kotak Mahindra Bank Limited,EQ, Annual General Meeting/Dividend Rs 0.80 Per Share,5,12-Jul-2019,-,16-Jul-2019,22-Jul-2019,0.80
6,KOTAKBANK,Kotak Mahindra Bank Limited,EQ, Annual General Meeting/Dividend- Re 0.70 Per Share,5,11-Jul-2018,-,13-Jul-2018,19-Jul-2018,0.70
7,KOTAKBANK,Kotak Mahindra Bank Limited,EQ, Annual General Meeting/Dividend-Re 0.60 Per Share,5,12-Jul-2017,-,14-Jul-2017,20-Jul-2017,0.60
10,KOTAKBANK,Kotak Mahindra Bank Limited,EQ,Annual General Meeting/Dividend Re 0.90/- Per Share,5,18-Jun-2015,-,22-Jun-2015,29-Jun-2015,0.90
11,KOTAKBANK,Kotak Mahindra Bank Limited,EQ,Annual General Meeting/Dividend Re 0.80/- Per Share,5,04-Jul-2014,-,08-Jul-2014,16-Jul-2014,0.80
12,KOTAKBANK,Kotak Mahindra Bank Limited,EQ,Annual General Meeting/Dividend Re 0.70/- Per Share,5,04-Jul-2013,-,08-Jul-2013,18-Jul-2013,0.70
13,KOTAKBANK,Kotak Mahindra Bank Limited,EQ,Annual General Meeting / Dividend Re 0.60 Per Share,5,06-Jul-2012,-,10-Jul-2012,19-Jul-2012,0.60
14,KOTAKBANK,Kotak Mahindra Bank Limited,EQ,Annual General Meeting And Dividend Re.0.50 Per Share,5,12-Jul-2011,-,14-Jul-2011,21-Jul-2011,0.50
16,KOTAKBANK,Kotak Mahindra Bank Limited,EQ,Annual General Meeting And Dividend Re.0.85 Per Share,5,30-Jun-2010,-,05-Jul-2010,07-Jul-2010,0.85
17,KOTAKBANK,Kotak Mahindra Bank Limited,EQ,Agm/Div-Re.0.75 Per Share,5,14-Jul-2009,-,16-Jul-2009,28-Jul-2009,0.75
18,KOTAKBANK,Kotak Mahindra Bank Limited,EQ,Agm/Dividend - 7.50%,5,14-Jul-2008,-,16-Jul-2008,28-Jul-2008,
19,KOTAKBANK,Kotak Mahindra Bank Limited,EQ,Agm/Dividend-7%,5,22-Jun-2007,-,26-Jun-2007,05-Jul-2007,
0,LT,Larsen & Toubro Limited,EQ,Dividend - Rs 34 Per Share,2,03-Jun-2025,03-Jun-2025,-,-,34
1,LT,Larsen & Toubro Limited,EQ,Dividend - Rs 28 Per Share,2,20-Jun-2024,20-Jun-2024,-,-,28
3,LT,Larsen & Toubro Limited,EQ,Dividend - Rs 24 Per Share,2,02-Aug-2023,02-Aug-2023,-,-,24
4,LT,Larsen & Toubro Limited,EQ,Special Dividend - Rs 6 Per Share,2,02-Aug-2023,02-Aug-2023,-,-,6
5,LT,Larsen & Toubro Limited,EQ,Dividend - Rs 22 Per Share,2,21-Jul-2022,22-Jul-2022,-,-,22
6,LT,Larsen & Toubro Limited,EQ, Annual General Meeting/Dividend - Rs 18 Per Share,2,28-Jul-2021,-,30-Jul-2021,05-Aug-2021,18
7,LT,Larsen & Toubro Limited,EQ, Special Dividend - Rs 18 Per Share,2,04-Nov-2020,05-Nov-2020,-,-,18
8,LT,Larsen & Toubro Limited,EQ, Annual General Meeting/Dividend - Rs  8 Per Share,2,05-Aug-2020,-,07-Aug-2020,13-Aug-2020,8
9,LT,Larsen & Toubro Limited,EQ, Interim Dividend - Rs 10 Per Share,2,24-Mar-2020,26-Mar-2020,-,-,10
10,LT,Larsen & Toubro Limited,EQ, Annual General Meeting/Dividend - Rs 18 Per Share,2,24-Jul-2019,-,26-Jul-2019,01-Aug-2019,18
12,LT,Larsen & Toubro Limited,EQ, Annual General Meeting/Dividend- Rs 16 Per Share,2,14-Aug-2018,-,17-Aug-2018,23-Aug-2018,16
13,LT,Larsen & Toubro Limited,EQ, Annual General Meeting/Dividend - Rs 14/- Per Share,2,11-Aug-2017,-,16-Aug-2017,22-Aug-2017,14
15,LT,Larsen & Toubro Limited,EQ, Dividend - Rs 18.25/- Per Share,2,18-Aug-2016,-,20-Aug-2016,26-Aug-2016,18.25
16,LT,Larsen & Toubro Limited,EQ, Annual General Meeting/ Dividend - Rs 16.25/- Per Share,2,01-Sep-2015,-,03-Sep-2015,09-Sep-2015,16.25
17,LT,Larsen & Toubro Limited,EQ,Annual General Meeting / Dividend - Rs 14.25/- Per Share,2,13-Aug-2014,-,16-Aug-2014,22-Aug-2014,14.25
18,LT,Larsen & Toubro Limited,EQ,Annual General Meeting / Dividend - Rs 12.33/- Per Share,2,13-Aug-2013,-,16-Aug-2013,22-Aug-2013,12.33
0,LTIM,LTIMindtree Limited,EQ,Interim Dividend - Rs 22 Per Share,1,24-Oct-2025,24-Oct-2025,-,-,22
1,LTIM,LTIMindtree Limited,EQ,Dividend - Rs 45 Per Share,1,23-May-2025,23-May-2025,-,-,45
2,LTIM,LTIMindtree Limited,EQ,Interim Dividend - Rs 20  Per Share,1,25-Oct-2024,25-Oct-2024,-,-,20
3,LTIM,LTIMindtree Limited,EQ,Dividend - Rs 45 Per Share,1,19-Jun-2024,19-Jun-2024,-,-,45
4,LTIM,LTIMindtree Limited,EQ,Interim Dividend - Rs 20 Per Share,1,27-Oct-2023,27-Oct-2023,-,-,20
5,LTIM,LTIMindtree Limited,EQ,Dividend - Rs 40 Per Share,1,10-Jul-2023,10-Jul-2023,-,-,40
6,LTIM,LTIMindtree Limited,EQ,Interim Dividend - Rs 20 Per Share,1,31-Jan-2023,31-Jan-2023,-,-,20
7,LTIM,LTIMindtree Limited,EQ,Dividend- Rs 30 Per Share,1,30-Jun-2022,01-Jul-2022,-,-,30
8,LTIM,LTIMindtree Limited,EQ, Interim Dividend - Rs 15 Per Share,1,25-Oct-2021,26-Oct-2021,-,-,15
9,LTIM,LTIMindtree Limited,EQ, Special Dividend - Rs 10 Per Share,1,30-Jul-2021,02-Aug-2021,-,-,10
10,LTIM,LTIMindtree Limited,EQ, Dividend - Rs 25 Per Share,1,01-Jul-2021,02-Jul-2021,-,-,25
11,LTIM,LTIMindtree Limited,EQ, Interim Dividend -Rs 15 Per Share,1,27-Oct-2020,28-Oct-2020,-,-,15
12,LTIM,LTIMindtree Limited,EQ, Annual General Meeting/Dividend - Rs 15.50 Per Share,1,09-Jul-2020,11-Jul-2020,-,-,15.50
13,LTIM,LTIMindtree Limited,EQ, Interim Dividend - Rs 12.50 Per Share,1,24-Oct-2019,26-Oct-2019,-,-,12.50
14,LTIM,LTIMindtree Limited,EQ, Dividend - Rs 15.50 Per Share,1,11-Jul-2019,-,15-Jul-2019,20-Jul-2019,15.50
15,LTIM,LTIMindtree Limited,EQ, Interim Dividend - Rs 12.50 Per Share,1,31-Oct-2018,01-Nov-2018,-,-,12.50
16,LTIM,LTIMindtree Limited,EQ, Annual General Meeting/Dividend Rs 13.50 Per Share,1,14-Aug-2018,-,18-Aug-2018,22-Aug-2018,13.50
17,LTIM,LTIMindtree Limited,EQ, Interim Dividend - Rs 8/- Per Share (Purpose Revised),1,13-Nov-2017,14-Nov-2017,-,-,8
18,LTIM,LTIMindtree Limited,EQ, Annual General Meeting/Dividend - Rs 9.70 Per Share,1,14-Aug-2017,-,18-Aug-2017,24-Aug-2017,9.70
19,LTIM,LTIMindtree Limited,EQ, Interim Dividend Rs 6.85 Per Share (Purpose Revised),1,17-Nov-2016,18-Nov-2016,-,-,6.85
0,MARUTI,Maruti Suzuki India Limited,EQ,Dividend - Rs 135 Per Share,5,01-Aug-2025,01-Aug-2025,-,-,135
1,MARUTI,Maruti Suzuki India Limited,EQ,Dividend - Rs 125 Per Share,5,02-Aug-2024,-,03-Aug-2024,27-Aug-2024,125
2,MARUTI,Maruti Suzuki India Limited,EQ,Dividend - Rs 90 Per Share,5,03-Aug-2023,-,04-Aug-2023,29-Aug-2023,90
3,MARUTI,Maruti Suzuki India Limited,EQ,Dividend - Rs 60 Per Share,5,03-Aug-2022,-,05-Aug-2022,31-Aug-2022,60
4,MARUTI,Maruti Suzuki India Limited,EQ, Dividend - Rs 45 Per Share,5,05-Aug-2021,-,07-Aug-2021,24-Aug-2021,45
5,MARUTI,Maruti Suzuki India Limited,EQ, Dividend - Rs 60 Per Share,5,13-Aug-2020,-,15-Aug-2020,26-Aug-2020,60
6,MARUTI,Maruti Suzuki India Limited,EQ, Dividend - Rs 80 Per Share,5,14-Aug-2019,-,17-Aug-2019,27-Aug-2019,80
7,MARUTI,Maruti Suzuki India Limited,EQ, Dividend Rs 80/- Per Share,5,14-Aug-2018,-,17-Aug-2018,23-Aug-2018,80
8,MARUTI,Maruti Suzuki India Limited,EQ, Dividend - Rs 75/- Per Share,5,24-Aug-2017,-,29-Aug-2017,05-Sep-2017,75
9,MARUTI,Maruti Suzuki India Limited,EQ, Final Dividend - Rs 35/- Per Share,5,31-Aug-2016,-,02-Sep-2016,08-Sep-2016,35
10,MARUTI,Maruti Suzuki India Limited,EQ,Annual General Meeting / Dividend - Rs 25/- Per Share,5,26-Aug-2015,-,28-Aug-2015,04-Sep-2015,25
11,MARUTI,Maruti Suzuki India Limited,EQ,Annual General Meeting / Dividend - Rs 12/- Per Share,5,27-Aug-2014,-,01-Sep-2014,04-Sep-2014,12
13,MARUTI,Maruti Suzuki India Limited,EQ,Annual General Meeting / Final Dividend Rs.8/- Per Equity Share,5,13-Aug-2013,-,16-Aug-2013,27-Aug-2013,8
14,MARUTI,Maruti Suzuki India Limited,EQ,Annual General Meeting/ Dividend Rs.7.50 Per Share,5,14-Aug-2012,-,17-Aug-2012,28-Aug-2012,7.50
15,MARUTI,Maruti Suzuki India Limited,EQ,Dividend-Rs.7.50 Per Share,5,24-Aug-2011,-,26-Aug-2011,08-Sep-2011,7.50
16,MARUTI,Maruti Suzuki India Limited,EQ,Annual General Meeting And Final Dividend Rs.6/- Per Share,5,24-Aug-2010,-,26-Aug-2010,07-Sep-2010,6
17,MARUTI,Maruti Suzuki India Limited,EQ,Agm/Div-Rs.3.50 Per Share,5,18-Aug-2009,-,21-Aug-2009,02-Sep-2009,3.50
18,MARUTI,Maruti Suzuki India Limited,EQ,Agm/Dividend - 100%,5,14-Aug-2008,-,20-Aug-2008,02-Sep-2008,
0,MAXHEALTH,Max Healthcare Institute Limited,EQ,Dividend - Rs 1.50 Per Share,10,04-Jul-2025,04-Jul-2025,-,-,1.50
1,MAXHEALTH,Max Healthcare Institute Limited,EQ,Dividend - Rs 1.5 Per Share,10,23-Aug-2024,23-Aug-2024,-,-,1.5
2,MAXHEALTH,Max Healthcare Institute Limited,EQ,Dividend - Re 1 Per Share,10,08-Sep-2023,08-Sep-2023,-,-,1
1,NESTLEIND,Nestle India Limited,EQ,Dividend - Rs 10 Per Share,1,04-Jul-2025,04-Jul-2025,-,-,10
2,NESTLEIND,Nestle India Limited,EQ,Interim Dividend - Rs 14.25 Per Share,1,07-Feb-2025,07-Feb-2025,-,-,14.25
3,NESTLEIND,Nestle India Limited,EQ,Dividend - Rs 8.50 Per Share,1,16-Jul-2024,16-Jul-2024,-,-,8.50
4,NESTLEIND,Nestle India Limited,EQ,Interim Dividend - Rs 2.75 Per Share,1,16-Jul-2024,16-Jul-2024,-,-,2.75
5,NESTLEIND,Nestle India Limited,EQ,Interim Dividend - Rs 7 Per Share,1,15-Feb-2024,15-Feb-2024,-,-,7
7,NESTLEIND,Nestle India Limited,EQ,Interim Dividend - Rs 140 Per Share,1,01-Nov-2023,01-Nov-2023,-,-,140
8,NESTLEIND,Nestle India Limited,EQ,Final Dividend - Rs 75 Per Share,1,21-Apr-2023,21-Apr-2023,-,-,75
9,NESTLEIND,Nestle India Limited,EQ,Interim Dividend - Rs  27 Per Share,1,21-Apr-2023,21-Apr-2023,-,-,27
10,NESTLEIND,Nestle India Limited,EQ,Interim Dividend - Rs 120 Per Share,1,31-Oct-2022,01-Nov-2022,-,-,120
11,NESTLEIND,Nestle India Limited,EQ,Interim Dividend - Rs 25 Per Sh/Dividend - Rs 65 Per Share,1,21-Apr-2022,22-Apr-2022,-,-,25
12,NESTLEIND,Nestle India Limited,EQ, Interim Dividend - Rs 110 Per Share,1,26-Oct-2021,27-Oct-2021,-,-,110
13,NESTLEIND,Nestle India Limited,EQ, Annual General Meeting/Dividend - Rs 65 Per Share,1,29-Apr-2021,-,01-May-2021,07-May-2021,65
14,NESTLEIND,Nestle India Limited,EQ, Interim Dividend - Rs 25 Per Share,1,29-Apr-2021,-,01-May-2021,07-May-2021,25
16,NESTLEIND,Nestle India Limited,EQ, Annual General Meeting/Dividend - Rs 61 Per Share,1,11-Jun-2020,-,13-Jun-2020,19-Jun-2020,61
17,NESTLEIND,Nestle India Limited,EQ, Interim Dividend - Rs 55 Per Share,1,10-Dec-2019,11-Dec-2019,-,-,55
18,NESTLEIND,Nestle India Limited,EQ, Interim Dividend - Rs 23 Per Share/ Special Dividend - Rs180 Per Share,1,09-Aug-2019,13-Aug-2019,-,-,23
19,NESTLEIND,Nestle India Limited,EQ, Interim Dividend - Rs 23 Per Share,1,06-May-2019,07-May-2019,-,-,23
0,NTPC,NTPC Limited,EQ,Interim Dividend - Rs 2.75 Per Share,10,07-Nov-2025,07-Nov-2025,-,-,2.75
1,NTPC,NTPC Limited,EQ,Dividend - Rs 3.35 Per Share,10,04-Sep-2025,04-Sep-2025,-,-,3.35
2,NTPC,NTPC Limited,EQ,Interim Dividend - Rs 2.50 Per Share,10,31-Jan-2025,31-Jan-2025,-,-,2.50
3,NTPC,NTPC Limited,EQ,Interim Dividend - Rs 2.50 Per Share,10,31-Oct-2024,02-Nov-2024,-,-,2.50
4,NTPC,NTPC Limited,EQ,Dividend - Rs 3.25 Per Share,10,07-Aug-2024,07-Aug-2024,-,-,3.25
5,NTPC,NTPC Limited,EQ,Interim Dividend - Rs 2.25 Per Share,10,06-Feb-2024,06-Feb-2024,-,-,2.25
